,Name,Total Value,Return
219,NN; E=1.00e+07; K=7.00e-01,"$100,000.00",+0.000%
220,LRA; E=1.00e+07; K=7.00e-02,"$100,000.00",+0.000%
221,NN; E=1.00e+07; K=7.00e-02,"$100,000.00",+0.000%
222,LRA; E=1.00e+07; K=7.00e-03,"$100,000.00",+0.000%
223,NN; E=1.00e+07; K=7.00e-03,"$100,000.00",+0.000%
224,LRA; E=1.00e+07; K=8.00e+03,"$100,000.00",+0.000%
225,NN; E=1.00e+07; K=8.00e+03,"$100,000.00",+0.000%
226,LRA; E=1.00e+07; K=8.00e+02,"$100,000.00",+0.000%
227,NN; E=1.00e+07; K=8.00e+02,"$100,000.00",+0.000%
228,LRA; E=1.00e+07; K=8.00e+01,"$100,000.00",+0.000%
229,NN; E=1.00e+07; K=8.00e+01,"$100,000.00",+0.000%
230,LRA; E=1.00e+07; K=8.00e+00,"$100,000.00",+0.000%
231,NN; E=1.00e+07; K=8.00e+00,"$100,000.00",+0.000%
232,LRA; E=1.00e+07; K=8.00e-01,"$100,000.00",+0.000%
233,NN; E=1.00e+07; K=8.00e-01,"$100,000.00",+0.000%
234,LRA; E=1.00e+07; K=8.00e-02,"$100,000.00",+0.000%
235,NN; E=1.00e+07; K=8.00e-02,"$100,000.00",+0.000%
236,LRA; E=1.00e+07; K=8.00e-03,"$100,000.00",+0.000%
237,NN; E=1.00e+07; K=8.00e-03,"$100,000.00",+0.000%
238,LRA; E=1.00e+07; K=9.00e+03,"$100,000.00",+0.000%
239,NN; E=1.00e+07; K=9.00e+03,"$100,000.00",+0.000%
240,LRA; E=1.00e+07; K=9.00e+02,"$100,000.00",+0.000%
241,NN; E=1.00e+07; K=9.00e+02,"$100,000.00",+0.000%
242,LRA; E=1.00e+07; K=9.00e+01,"$100,000.00",+0.000%
243,NN; E=1.00e+07; K=9.00e+01,"$100,000.00",+0.000%
244,LRA; E=1.00e+07; K=9.00e+00,"$100,000.00",+0.000%
245,NN; E=1.00e+07; K=9.00e+00,"$100,000.00",+0.000%
246,LRA; E=1.00e+07; K=9.00e-01,"$100,000.00",+0.000%
247,NN; E=1.00e+07; K=9.00e-01,"$100,000.00",+0.000%
248,LRA; E=1.00e+07; K=9.00e-02,"$100,000.00",+0.000%
249,NN; E=1.00e+07; K=9.00e-02,"$100,000.00",+0.000%
250,LRA; E=1.00e+07; K=9.00e-03,"$100,000.00",+0.000%
251,NN; E=1.00e+07; K=9.00e-03,"$100,000.00",+0.000%
252,LRA; E=1.00e+06; K=1.00e+03,"$100,000.00",+0.000%
253,NN; E=1.00e+06; K=1.00e+03,"$100,000.00",+0.000%
254,LRA; E=1.00e+06; K=1.00e+02,"$100,000.00",+0.000%
255,NN; E=1.00e+06; K=1.00e+02,"$100,000.00",+0.000%
256,LRA; E=1.00e+06; K=1.00e+01,"$100,000.00",+0.000%
257,NN; E=1.00e+06; K=1.00e+01,"$100,000.00",+0.000%
258,LRA; E=1.00e+06; K=1.00e+00,"$100,000.00",+0.000%
259,NN; E=1.00e+06; K=1.00e+00,"$100,000.00",+0.000%
260,LRA; E=1.00e+06; K=1.00e-01,"$100,000.00",+0.000%
261,NN; E=1.00e+06; K=1.00e-01,"$100,000.00",+0.000%
262,LRA; E=1.00e+06; K=1.00e-02,"$100,000.00",+0.000%
263,NN; E=1.00e+06; K=1.00e-02,"$100,000.00",+0.000%
264,LRA; E=1.00e+06; K=1.00e-03,"$100,000.00",+0.000%
265,NN; E=1.00e+06; K=1.00e-03,"$100,000.00",+0.000%
266,LRA; E=1.00e+06; K=2.00e+03,"$100,000.00",+0.000%
267,NN; E=1.00e+06; K=2.00e+03,"$100,000.00",+0.000%
268,LRA; E=1.00e+06; K=2.00e+02,"$100,000.00",+0.000%
269,NN; E=1.00e+06; K=2.00e+02,"$100,000.00",+0.000%
270,LRA; E=1.00e+06; K=2.00e+01,"$100,000.00",+0.000%
271,NN; E=1.00e+06; K=2.00e+01,"$100,000.00",+0.000%
272,LRA; E=1.00e+06; K=2.00e+00,"$100,000.00",+0.000%
273,NN; E=1.00e+06; K=2.00e+00,"$100,000.00",+0.000%
274,LRA; E=1.00e+06; K=2.00e-01,"$100,000.00",+0.000%
275,NN; E=1.00e+06; K=2.00e-01,"$100,000.00",+0.000%
276,LRA; E=1.00e+06; K=2.00e-02,"$100,000.00",+0.000%
277,NN; E=1.00e+06; K=2.00e-02,"$100,000.00",+0.000%
278,LRA; E=1.00e+06; K=2.00e-03,"$100,000.00",+0.000%
279,NN; E=1.00e+06; K=2.00e-03,"$100,000.00",+0.000%
280,LRA; E=1.00e+06; K=3.00e+03,"$100,000.00",+0.000%
281,NN; E=1.00e+06; K=3.00e+03,"$100,000.00",+0.000%
282,LRA; E=1.00e+06; K=3.00e+02,"$100,000.00",+0.000%
283,NN; E=1.00e+06; K=3.00e+02,"$100,000.00",+0.000%
284,LRA; E=1.00e+06; K=3.00e+01,"$100,000.00",+0.000%
285,NN; E=1.00e+06; K=3.00e+01,"$100,000.00",+0.000%
286,LRA; E=1.00e+06; K=3.00e+00,"$100,000.00",+0.000%
287,NN; E=1.00e+06; K=3.00e+00,"$100,000.00",+0.000%
288,LRA; E=1.00e+06; K=3.00e-01,"$100,000.00",+0.000%
289,NN; E=1.00e+06; K=3.00e-01,"$100,000.00",+0.000%
290,LRA; E=1.00e+06; K=3.00e-02,"$100,000.00",+0.000%
291,NN; E=1.00e+06; K=3.00e-02,"$100,000.00",+0.000%
292,LRA; E=1.00e+06; K=3.00e-03,"$100,000.00",+0.000%
293,NN; E=1.00e+06; K=3.00e-03,"$100,000.00",+0.000%
294,LRA; E=1.00e+06; K=4.00e+03,"$100,000.00",+0.000%
295,NN; E=1.00e+06; K=4.00e+03,"$100,000.00",+0.000%
296,LRA; E=1.00e+06; K=4.00e+02,"$100,000.00",+0.000%
297,NN; E=1.00e+06; K=4.00e+02,"$100,000.00",+0.000%
298,LRA; E=1.00e+06; K=4.00e+01,"$100,000.00",+0.000%
299,NN; E=1.00e+06; K=4.00e+01,"$100,000.00",+0.000%
300,LRA; E=1.00e+06; K=4.00e+00,"$100,000.00",+0.000%
301,NN; E=1.00e+06; K=4.00e+00,"$100,000.00",+0.000%
302,LRA; E=1.00e+06; K=4.00e-01,"$100,000.00",+0.000%
303,NN; E=1.00e+06; K=4.00e-01,"$100,000.00",+0.000%
304,LRA; E=1.00e+06; K=4.00e-02,"$100,000.00",+0.000%
305,NN; E=1.00e+06; K=4.00e-02,"$100,000.00",+0.000%
306,LRA; E=1.00e+06; K=4.00e-03,"$100,000.00",+0.000%
307,NN; E=1.00e+06; K=4.00e-03,"$100,000.00",+0.000%
308,LRA; E=1.00e+06; K=5.00e+03,"$100,000.00",+0.000%
309,NN; E=1.00e+06; K=5.00e+03,"$100,000.00",+0.000%
310,LRA; E=1.00e+06; K=5.00e+02,"$100,000.00",+0.000%
311,NN; E=1.00e+06; K=5.00e+02,"$100,000.00",+0.000%
312,LRA; E=1.00e+06; K=5.00e+01,"$100,000.00",+0.000%
313,NN; E=1.00e+06; K=5.00e+01,"$100,000.00",+0.000%
314,LRA; E=1.00e+06; K=5.00e+00,"$100,000.00",+0.000%
315,NN; E=1.00e+06; K=5.00e+00,"$100,000.00",+0.000%
316,LRA; E=1.00e+06; K=5.00e-01,"$100,000.00",+0.000%
317,NN; E=1.00e+06; K=5.00e-01,"$100,000.00",+0.000%
318,LRA; E=1.00e+06; K=5.00e-02,"$100,000.00",+0.000%
319,NN; E=1.00e+06; K=5.00e-02,"$100,000.00",+0.000%
320,LRA; E=1.00e+06; K=5.00e-03,"$100,000.00",+0.000%
321,NN; E=1.00e+06; K=5.00e-03,"$100,000.00",+0.000%
322,LRA; E=1.00e+06; K=6.00e+03,"$100,000.00",+0.000%
323,NN; E=1.00e+06; K=6.00e+03,"$100,000.00",+0.000%
324,LRA; E=1.00e+06; K=6.00e+02,"$100,000.00",+0.000%
325,NN; E=1.00e+06; K=6.00e+02,"$100,000.00",+0.000%
326,LRA; E=1.00e+06; K=6.00e+01,"$100,000.00",+0.000%
327,NN; E=1.00e+06; K=6.00e+01,"$100,000.00",+0.000%
328,LRA; E=1.00e+06; K=6.00e+00,"$100,000.00",+0.000%
329,NN; E=1.00e+06; K=6.00e+00,"$100,000.00",+0.000%
330,LRA; E=1.00e+06; K=6.00e-01,"$100,000.00",+0.000%
331,NN; E=1.00e+06; K=6.00e-01,"$100,000.00",+0.000%
